Type,Length,Radius
Right,44.45,203.2
Left,6.985,25.4
Straight,20.32,0
Right,6.35,9.221
Straight,1.27,0
Left,7.62,8.586
Straight,3.81,0
Right,6.35,9.427
Straight,5.08,0
Left,5.08,7.103
Straight,1.702,0
Right,3.81,4.318
Left,27.94,78.553
Left,15.24,210.425
Straight,21.59,0
Left,5.08,12.17
Right,15.875,15.616
Straight,10.795,0
Left,11.43,15.875
Straight,11.43,0
Right,6.223,13.335
Straight,25.4,0
Left,5.715,6.35
Straight,1.016,0
Right,12.192,10.16
Left,14.732,9.94
Right,12.446,6.35
Left,10.414,11.43
Straight,20.955,0
Right,5.08,3.011
Left,2.54,1.754
Straight,8.255,0
Left,16.51,8.89
Straight,8.255,0
Left,10.795,8.079
Straight,6.35,0
Right,3.302,4.318
Straight,8.382,0
Left,4.445,5.715
Straight,21.59,0
Left,2.54,1.676
Straight,6.35,0
Right,3.81,2.54
Straight,13.97,0
Right,8.255,9.989
Left,7.62,8.411
Straight,35.56,0
Left,5.08,6.985
Right,11.43,9.652
Left,19.05,25.892
Straight,11.43,0
Right,4.699,6.564
Straight,0.254,0
Left,7.62,7.746
Straight,3.059,0
Right,6.985,7.184
Straight,3.175,0
Left,7.62,7.326
Right,11.43,25.4
Straight,17.78,0
Right,7.62,12.7
Left,17.78,15.687
Straight,13.081,0
Right,5.08,7.618
Straight,24.13,0
Right,11.43,27.973
Left,16.51,11.858
Straight,1.27,0
Right,6.35,5.08
Straight,7.62,0
Left,8.89,6.718
Straight,6.35,0
Right,2.54,2.897
Straight,13.97,0
Left,22.86,31.154
Right,6.35,8.366
Left,7.62,10.16
Right,24.13,41.182
