Type,Length,Radius
Straight,20.11,0
Left,8.216,7.294
Straight,13.239,0
Left,8.881,8.748
Straight,14.964,0
Right,9.938,10.086
Straight,16.615,0
Left,3.739,4.892
Straight,17.819,0
Right,10.457,30.749
Straight,60.96,0
Right,12.792,30.173
Straight,15.379,0
Left,13.752,13.458
Straight,27.807,0
Right,16.719,15.328
Straight,28.534,0
Left,12.489,15.939
Right,11.658,34.409
Straight,6.261,0
Left,9.492,10.547
Right,7.323,8.011
Straight,4.792,0
Left,28.838,20.858
Right,7.544,7.757
Straight,8.026,0
Right,0.1,0.122
Left,0.1,0.391
Straight,52.705,0
Right,3.632,19.403
Straight,6.21,0
Right,10.919,8.331
Left,11.074,7.798
Straight,16.121,0
Left,12.52,14.455
Left,1.524,3.153
Straight,10.16,0
Left,5.702,20.93
Right,4.46,4.275
Straight,7.508,0
Left,2.774,2.007
Straight,29.507,0
Left,36.805,44.676
Straight,2.413,0
Right,11.704,13.127
Right,4.879,26.416
Left,13.964,23.241
Left,3.025,4.996
Right,5.385,4.445
Straight,25.07,0
Straight,52.146,0
Right,4.94,7.645
Left,5.047,6.088
Straight,9.032,0
Right,6.764,5.964
Left,8.402,5.292
Right,10.749,8.474
Left,12.309,9.251
Right,1.453,1.905
Straight,32.487,0
Left,12.045,8.977
Right,16.485,11.235
Right,19.558,25.146
Left,6.35,13.97
Straight,33.19,0
Left,4.282,8.026
Right,8.585,8.689
Left,10.795,9.708
Right,9.707,7.518
Straight,5.933,0
Left,3.782,3.335
Straight,17.522,0
Right,6.726,5.372
Straight,11.43,0
Left,6.481,4.74
Straight,9.111,0
Right,7.442,6.393
Straight,10.236,0
Left,9.025,4.526
